w,lambda,seed,mean_S,profit,lost_sales,bullwhip,mean_order,mean_inventory,collapsed,final_value_loss,final_explained_variance,train_steps
0.0,1.0,42,0.0,-128.1,0.5158669877768538,0.0,0.0,196.29677419354837,1,2091.643673958194,0.05053456446044465,150000
0.0,1.0,43,0.0,-128.1,0.5165728289268111,0.0,0.0,196.1005376344086,1,2276.6273176579057,0.04553486597843659,150000
0.0,1.0,44,0.0,-128.1,0.5173429937269243,0.0,0.0,196.27903225806452,1,2115.483282470703,0.041887006189069174,150000
0.0,1.0,45,0.0,-128.1,0.5229070936751181,0.0,0.0,196.19892473118279,1,2068.3204573411213,0.05647172988989414,150000
0.0,1.0,46,0.0,-128.1,0.508184749849319,0.0,0.0,196.58602150537635,1,2060.867793573885,0.048317588547356106,150000
0.0,1.0,47,0.0,-128.1,0.5165791280650451,0.0,0.0,196.31129032258065,1,2001.6470790417443,0.050444543106943115,150000
0.0,1.0,48,0.0,-128.1,0.5208458755746784,0.0,0.0,196.1295698924731,1,2046.2662588527062,0.04366962547995087,150000
0.0,1.0,49,0.0,-128.1,0.5314132341582017,0.0,0.0,196.21075268817205,1,2075.5082858528513,0.057154932083227694,150000
0.0,1.0,50,0.0,-128.1,0.5153191370466681,0.0,0.0,196.30752688172043,1,2093.6432917059656,0.05209710175155574,150000
0.0,1.0,51,0.0,-128.1,0.518289184051047,0.0,0.0,196.64139784946235,1,2089.3146608879765,0.048611406587127946,150000
0.0,1.0,52,0.0,-128.1,0.5188447054617819,0.0,0.0,196.53870967741938,1,2062.3995226998613,0.042363988792794384,150000
0.0,1.0,53,0.0,-128.1,0.5149925463760175,0.0,0.0,196.33440860215052,1,2064.646524169574,0.0447031677278698,150000
0.0,1.0,54,0.0,-128.1,0.5174862706277183,0.0,0.0,196.18870967741935,1,2116.355990844031,0.040044054006918885,150000
0.0,1.0,55,0.0,-128.1,0.5243769008931682,0.0,0.0,196.202688172043,1,2082.205593515597,0.04978912584802024,150000
0.0,1.0,56,0.0,-128.1,0.5182402578694825,0.0,0.0,196.23709677419356,1,1916.9390027516247,0.05928155983615126,150000
0.0,1.0,57,0.0,-128.1,0.519507414983065,0.0,0.0,196.10860215053765,1,2070.1037879965584,0.02134768320963933,150000
0.0,1.0,58,0.0,-128.1,0.5139874647024886,0.0,0.0,196.63548387096773,1,2018.5141377158316,0.04818461389623137,150000
0.0,1.0,59,0.0,-128.1,0.5277165188516677,0.0,0.0,196.46559139784944,1,2031.0801562882555,0.05164876300045568,150000
0.0,1.0,60,0.0,-128.1,0.5121162746831248,0.0,0.0,196.51075268817203,1,2035.4272086640708,0.03481476531069503,150000
0.0,1.0,61,0.0,-128.1,0.5177674686837654,0.0,0.0,196.4747311827957,1,2055.011663192358,0.04459032187095055,150000
0.1,1.0,42,0.0,-128.1,0.5158669877768538,0.0,0.0,196.29677419354837,1,1802.4419886227688,0.09374704447566953,150000
0.1,1.0,43,0.0,-128.1,0.5165728289268111,0.0,0.0,196.1005376344086,1,1898.5857553857002,0.0974127449031569,150000
0.1,1.0,44,0.0,-128.1,0.5173429937269243,0.0,0.0,196.27903225806452,1,1795.6384746758008,0.097795559045596,150000
0.1,1.0,45,0.0,-128.1,0.5229070936751181,0.0,0.0,196.19892473118279,1,1805.4990845682955,0.10537380031031421,150000
0.1,1.0,46,0.0,-128.1,0.508184749849319,0.0,0.0,196.58602150537635,1,1752.9758588828931,0.0980543290447985,150000
0.1,1.0,47,0.0,-128.1,0.5165791280650451,0.0,0.0,196.31129032258065,1,1773.5093249111771,0.08354769048527774,150000
0.1,1.0,48,0.0,-128.1,0.5208458755746784,0.0,0.0,196.1295698924731,1,1884.5165035410823,0.05397290500820193,150000
